YYWW,DOGA,MAX(PAY),MIN(PAY),A1,A2,B1,B2,C1,C2,D1,D2,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
201748,4535,4631,4418,-435976,-445720,-931901,-941045,-75892,-133650,-1224108,-1243980,53.8,1.8,1.8,-7.6,11.2,18.8
201749,4590,4657,4497,-456622,-467230,-908850,-909330,-41009,-98205,-1250488,-1261480,56.6,-0.5,-0.6,-8.2,8.1,16.3
201750,4202.2,4440,3932,-468470,-479510,-975820,-983260,-69693,-118910,-1340350,-1360750,47.5,-5.5,-5.6,-12.3,6.7,19
201751,4178.6,4256,4127,-443390,-454910,-954413,-954485,-23834,-77440,-1340773,-1352125,63.7,-1.3,-1.1,-10.8,8.7,19.5
201752,3881,4055,3603,-551131,-561955,-1022290,-1025410,-60699,-109805,-1155356,-1169900,55.5,-1.1,-1.2,-10.3,6,16.3
201801,3765.8,3852,3694,-465759,-480615,-1138630,-1138630,-41245,-100105,-1658213,-1675085,43.7,-2.7,-2.7,-8.7,3.8,12.5
201802,3810.2,3928,3717,-465533,-477365,-1059262,-1059790,-34140,-92830,-1335155,-1351595,54,-5.1,-5.1,-15.3,5.4,20.7
201803,3793.2,3862,3765,-415902,-426270,-915752,-915800,-61736,-115285,-1322121,-1333185,55.2,2.7,2.6,-3.7,8.7,12.4
201804,3871.8,3927,3841,-465966,-475710,-1048210,-1048210,-39824,-94965,-1257925,-1269805,38.4,-10,-10.1,-17.8,4,21.8
201805,4218.2,4368,4055,-434991,-448455,-1000702,-1001230,-78159,-139005,-1187741,-1203365,47.8,-5.6,-5.7,-12.8,3.8,16.6
201806,4409.2,4576,4206,-462521,-475025,-889060,-889060,-46643,-117465,-1268707,-1281835,41.6,-5.5,-5.4,-13.4,6.1,19.5
201807,3778.8,4177,3566,-409642,-419530,-1033682,-1034930,-33285,-76785,-1151664,-1161840,38.4,-1.3,-1.2,-9.6,8.7,18.3
201808,3857,3903,3829,-387564,-400620,-858693,-859725,-34404,-100145,-1072547,-1080155,50,1.6,1.7,-4.5,8.6,13.1
201809,3918,4027,3802,-485444,-494900,-944330,-944330,-44455,-111700,-1180294,-1189990,55.2,4,4.1,-6.7,16.2,22.9
201810,3824.4,3950,3678,-440390,-450470,-829282,-829330,-41937,-96325,-1095400,-1107160,61,5.3,5.2,-1.1,12.2,13.3
201811,3885.4,3920,3864,-464416,-474400,-812820,-812820,-44999,-102340,-1133118,-1144830,58.1,10.1,10.2,0.5,22.1,21.6
201812,4105,4188,3989,-510198,-519270,-849514,-850330,-53540,-118935,-1138766,-1146830,59.1,6.2,6.1,0.6,16.9,16.3
201813,4770.8,5335,4319,-491860,-501940,-917650,-917890,-49973,-108000,-1045164,-1055580,62.3,13.9,14,5.3,21.9,16.6
201814,4375.6,4502,4245,-460352,-469520,-734269,-734485,-52419,-115660,-1161731,-1173755,67.2,10.3,10.2,0.6,23.7,23.1
201815,4450,4493,4413,-466665,-477105,-825260,-826940,-31415,-92940,-1082970,-1094010,51.2,11.6,11.7,0.1,21.9,21.8
201816,4394.8,4479,4276,-515259,-525555,-833972,-834020,-53940,-111650,-1128355,-1137115,41,14.7,14.8,4.9,26.3,21.4
201817,4497.2,4542,4454,-448961,-459065,-885220,-885220,-39050,-96225,-1105070,-1114430,56.2,14,14,5.7,23.3,17.6
201818,4569.8,4661,4372,-511788,-521100,-753790,-755230,-47271,-110565,-1180825,-1187425,66.4,16.4,16.4,6.9,25,18.1
201819,4564,4661,4400,-497004,-506940,-782382,-784830,-50409,-105990,-1138950,-1146870,66.1,16.2,16.3,9.2,25.5,16.3
201820,4583.8,4629,4521,-464972,-472460,-771940,-771940,-45756,-95560,-1128225,-1135785,69.7,19.3,19.4,10.3,29.3,19
201821,4665.8,4913,4556,-479418,-487050,-860412,-860460,-39274,-89135,-1204087,-1213135,52.3,19,19,11.2,29.6,18.4
201822,4849,4890,4817,-455983,-465655,-749404,-751900,-45418,-98320,-1212850,-1224370,54.7,22.2,22.3,14.2,30.8,16.6
201823,4985.2,5065,4808,-474567,-483375,-776932,-777460,-43956,-98215,-1174383,-1187895,59.9,22.7,22.6,17.7,30.1,12.4
201824,5160.5,5298,5089,-503115,-516435,-867410,-869810,-47640,-106435,-1344331,-1354915,64.3,21.8,21.7,16.3,28.7,12.4
201825,5274.2,5361,5214,-444954,-453930,-754300,-756460,-54670,-114420,-1081790,-1092830,57.6,24,24,18.2,32.1,13.9
201826,5366,5491,5308,-553409,-566105,-929452,-933580,-95351,-158830,-1284160,-1295200,80.7,23.9,23.7,19.1,32.9,13.8
