YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2017-52,3881,4055,3603,2017-52,-551131,-561955,-1022290,-1025410,-60699,-109805,-1155356,-1169900,2017-52,55.5,-1.1,-1.2,-10.3,6,16.3
2018-17,4497.2,4542,4454,2018-17,-448961,-459065,-885220,-885220,-39050,-96225,-1105070,-1114430,2018-17,56.2,14,14,5.7,23.3,17.6
2018-19,4564,4661,4400,2018-19,-497004,-506940,-782382,-784830,-50409,-105990,-1138950,-1146870,2018-19,66.1,16.2,16.3,9.2,25.5,16.3
2018-23,4985.2,5065,4808,2018-23,-474567,-483375,-776932,-777460,-43956,-98215,-1174383,-1187895,2018-23,59.9,22.7,22.6,17.7,30.1,12.4
2018-31,4453.8,4555,4339,2018-31,-412606,-422350,-624540,-626460,-38085,-89835,-1052050,-1061650,2018-31,56.8,36.6,32.3,26.2,39.6,13.4
2022-23,6028.8,6157,5868,2022-23,-411900,-416220,-614560,-615280,-115848,-164070,-1455442,-1459090,2022-23,64.7,21.7,21.7,15.1,29.7,14.6
2022-24,6003.6,6181,5706,2022-24,-339920,-345200,-520640,-520640,-103272,-141395,-1196352,-1199760,2022-24,69.8,22.1,22.1,14.9,32.7,17.8
2022-25,5659,5936,5403,2022-25,-369920,-375920,-529930,-529930,-113851,-153695,-1160149,-1165405,2022-25,79.9,24.5,24.5,20.6,32.6,12
2022-28,5653.4,5733,5593,2022-28,-374142,-379950,-490340,-490340,-114676,-151160,-1093000,-1099000,2022-28,79.2,28.1,26.7,23,35.1,12.1
2022-34,6056.2,6152,6005,2022-34,-361510,-366550,-667000,-669400,-102589,-147620,-1047577,-1053025,2022-34,75.5,27.1,25.6,19.9,32,12.1
2022-42,5316.8,5451,5236,2022-42,-432721,-438505,-927600,-927600,-80543,-124460,-1355597,-1363685,2022-42,62.2,13.3,13.3,4.4,24.4,20
2021-30,4937.8,5034,4799,2021-30,-338839,-344335,-473970,-473970,-104704,-148450,-1036245,-1040445,2021-30,61.2,35,31,26.9,36.5,9.6
2021-45,5101.6,5152,5037,2021-45,-444992,-451520,-562772,-563060,-98991,-150450,-1425982,-1427950,2021-45,69.4,9.4,9.3,0.7,21.3,20.6
2021-46,5174.2,5293,5063,2021-46,-374466,-380850,-591270,-591270,-110283,-150970,-1364517,-1366845,2021-46,66.1,8.6,8.7,0.5,16.4,15.9
2022-16,5462.4,5794,5159,2022-16,-368058,-371130,-494680,-494680,-108370,-153925,-1233847,-1239775,2022-16,53.3,14.9,14.9,7.1,22.7,15.6
2018-37,5000.7,5215,4087,2018-37,-424449,-430665,-895163,-902195,-58461,-118695,-1440096,-1447920,2018-37,62.6,22.8,22.8,16.8,28.4,11.6
2018-49,3919.8,3971,3867,2018-49,-449891,-458555,-1021869,-1022565,-59587,-105395,-1143751,-1150495,2018-49,50.4,-0.1,-0.3,-11.8,13.5,25.3
2019-14,4549,4631,4481,2019-14,-372828,-380700,-776810,-778490,-79281,-128770,-1054471,-1059535,2019-14,38.3,9.7,9.8,1.3,20.3,19
2019-16,4353.6,4493,4237,2019-16,-339149,-347045,-697490,-698690,-49941,-95565,-856977,-859305,2019-16,55.8,14.9,15,6.8,28.2,21.4
2019-25,4183.8,4329,4034,2019-25,-310343,-314975,-633060,-633060,-60768,-106300,-1043355,-1046115,2019-25,61.6,23,23.1,17,31,14
2019-31,3766.8,3898,3656,2019-31,-333878,-345110,-616660,-616660,-59006,-105480,-1005121,-1014505,2019-31,76.9,31,28.1,23.5,36,12.5
2019-35,4514.3,4621,4331,2019-35,-454002,-459810,-781410,-781410,-76364,-129905,-1105578,-1111050,2019-35,66.6,24.2,24.2,18.5,30.2,11.7
Apr-20,2272.3,2403,2021,Apr-20,-425092,-430660,-894730,-894730,-67523,-120350,-1132572,-1136940,Apr-20,51.9,4.7,4.7,-1.3,11.9,13.2
Jun-20,2937.6,3008,2769,Jun-20,-424793,-429665,-953340,-953340,-92717,-136495,-1292510,-1297790,Jun-20,43.7,-1,-0.9,-11.8,14.6,26.4
Nov-20,3973.2,4039,3818,Nov-20,-361837,-365845,-999830,-999830,-84115,-125690,-1371955,-1375915,Nov-20,47.9,4.7,4.8,-2.7,13.3,16
2020-19,5092.4,5181,4964,2020-19,-358655,-360215,-668830,-668830,-61566,-111870,-1219385,-1220945,2020-19,61.3,17.1,17.1,10.5,27.6,17.1
2020-26,4590,4690,4467,2020-26,-392485,-394525,-670280,-670280,-88456,-129495,-1230430,-1233790,2020-26,79.4,22.7,22.7,18.4,30.1,11.7
